,Zip,High_risk,Medium_risk,Low_risk,risk_sum,High_risk_percent,Medium_risk_percent,Low_risk_percent
0,60148,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,60406,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2,60501,0.0,1.0,3.0,4.0,0.0,0.25,0.75
3,60601,1898.0,414.0,87.0,2399.0,0.791162984576907,0.17257190496040017,0.03626511046269279
4,60602,787.0,204.0,50.0,1041.0,0.7560038424591738,0.19596541786743515,0.04803073967339097
5,60603,1104.0,198.0,72.0,1374.0,0.8034934497816594,0.14410480349344978,0.05240174672489083
6,60604,663.0,230.0,43.0,936.0,0.7083333333333334,0.24572649572649571,0.045940170940170943
7,60605,1570.0,430.0,112.0,2112.0,0.7433712121212122,0.20359848484848486,0.05303030303030303
8,60606,1859.0,357.0,111.0,2327.0,0.7988826815642458,0.1534164159862484,0.047700902449505804
9,60607,2873.0,426.0,111.0,3410.0,0.8425219941348974,0.1249266862170088,0.032551319648093845
10,60608,2569.0,906.0,399.0,3874.0,0.6631388745482705,0.233866804336603,0.10299432111512648
11,60609,1868.0,658.0,398.0,2924.0,0.6388508891928865,0.22503419972640218,0.13611491108071136
12,60610,2133.0,354.0,166.0,2653.0,0.8039954768186958,0.13343384847342632,0.06257067470787787
13,60611,3576.0,707.0,237.0,4520.0,0.7911504424778761,0.15641592920353983,0.05243362831858407
14,60612,1227.0,641.0,249.0,2117.0,0.5795937647614549,0.30278696268304206,0.11761927255550307
15,60613,2007.0,630.0,145.0,2782.0,0.7214234363767074,0.22645578720345075,0.05212077641984184
16,60614,3867.0,757.0,168.0,4792.0,0.8069699499165276,0.15797161936560936,0.035058430717863104
17,60615,1114.0,426.0,113.0,1653.0,0.6739261947973382,0.2577132486388385,0.06836055656382335
18,60616,2367.0,739.0,156.0,3262.0,0.7256284488044145,0.22654812998160637,0.04782342121397915
19,60617,1755.0,759.0,192.0,2706.0,0.6485587583148559,0.2804878048780488,0.07095343680709534
20,60618,3118.0,547.0,342.0,4007.0,0.7781382580484153,0.1365111055652608,0.08535063638632394
21,60619,1454.0,996.0,293.0,2743.0,0.5300765585125775,0.36310608822457163,0.1068173532628509
22,60620,1339.0,833.0,298.0,2470.0,0.5421052631578948,0.337246963562753,0.12064777327935222
23,60621,478.0,436.0,154.0,1068.0,0.44756554307116103,0.40823970037453183,0.1441947565543071
24,60622,3238.0,757.0,250.0,4245.0,0.7627797408716137,0.17832744405182568,0.05889281507656066
25,60623,2134.0,716.0,401.0,3251.0,0.6564134112580744,0.22023992617656105,0.1233466625653645
26,60624,619.0,613.0,232.0,1464.0,0.4228142076502732,0.4187158469945355,0.15846994535519127
27,60625,2717.0,555.0,242.0,3514.0,0.7731929425156516,0.15793966989186112,0.0688673875924872
28,60626,1575.0,312.0,180.0,2067.0,0.7619738751814223,0.1509433962264151,0.08708272859216255
29,60627,1.0,0.0,0.0,1.0,1.0,0.0,0.0
30,60628,1376.0,868.0,214.0,2458.0,0.5598047192839707,0.3531326281529699,0.0870626525630594
31,60629,1781.0,507.0,214.0,2502.0,0.7118305355715427,0.2026378896882494,0.08553157474020784
32,60630,1455.0,220.0,141.0,1816.0,0.8012114537444934,0.1211453744493392,0.07764317180616741
33,60631,851.0,101.0,46.0,998.0,0.8527054108216433,0.10120240480961924,0.04609218436873747
34,60632,2514.0,579.0,254.0,3347.0,0.7511204063340304,0.17299073797430534,0.07588885569166418
35,60633,155.0,55.0,17.0,227.0,0.6828193832599119,0.2422907488986784,0.07488986784140969
36,60634,2082.0,386.0,157.0,2625.0,0.7931428571428571,0.14704761904761904,0.05980952380952381
37,60636,838.0,629.0,249.0,1716.0,0.48834498834498835,0.36655011655011654,0.1451048951048951
38,60637,1037.0,488.0,154.0,1679.0,0.6176295413936868,0.29064919594997024,0.09172126265634306
39,60638,1270.0,407.0,107.0,1784.0,0.7118834080717489,0.2281390134529148,0.05997757847533632
40,60639,2482.0,674.0,290.0,3446.0,0.7202553685432386,0.1955890887986071,0.08415554265815438
41,60640,2694.0,437.0,244.0,3375.0,0.7982222222222223,0.12948148148148148,0.0722962962962963
42,60641,1987.0,367.0,177.0,2531.0,0.7850651916238641,0.14500197550375346,0.06993283287238246
43,60642,1184.0,243.0,75.0,1502.0,0.7882822902796272,0.1617842876165113,0.049933422103861515
44,60643,1331.0,434.0,140.0,1905.0,0.6986876640419948,0.22782152230971128,0.07349081364829396
45,60644,859.0,664.0,211.0,1734.0,0.4953863898500577,0.3829296424452134,0.12168396770472895
46,60645,711.0,167.0,66.0,944.0,0.753177966101695,0.17690677966101695,0.06991525423728813
47,60646,860.0,106.0,50.0,1016.0,0.8464566929133859,0.10433070866141732,0.04921259842519685
48,60647,3520.0,767.0,305.0,4592.0,0.7665505226480837,0.16702961672473868,0.0664198606271777
49,60649,950.0,515.0,214.0,1679.0,0.5658129839189994,0.3067301965455628,0.12745681953543775
50,60651,1000.0,696.0,266.0,1962.0,0.509683995922528,0.3547400611620795,0.13557594291539246
51,60652,845.0,272.0,77.0,1194.0,0.7077051926298158,0.22780569514237856,0.06448911222780569
52,60653,810.0,340.0,67.0,1217.0,0.6655710764174199,0.27937551355792933,0.05505341002465078
53,60654,2492.0,380.0,109.0,2981.0,0.8359610868835962,0.1274740020127474,0.03656491110365649
54,60655,388.0,137.0,28.0,553.0,0.701627486437613,0.24773960216998192,0.05063291139240506
55,60656,489.0,49.0,12.0,550.0,0.889090909090909,0.0890909090909091,0.02181818181818182
56,60657,3593.0,551.0,205.0,4349.0,0.8261669349275695,0.12669579213612325,0.0471372729363072
57,60659,2092.0,490.0,177.0,2759.0,0.7582457412105835,0.17760057992026096,0.06415367886915549
58,60660,1537.0,313.0,132.0,1982.0,0.7754793138244198,0.1579212916246216,0.06659939455095863
59,60661,1530.0,300.0,48.0,1878.0,0.8146964856230032,0.1597444089456869,0.025559105431309903
60,60666,1131.0,469.0,155.0,1755.0,0.6444444444444445,0.2672364672364672,0.08831908831908832
61,60707,512.0,169.0,32.0,713.0,0.7180925666199158,0.2370266479663394,0.04488078541374474
62,60827,56.0,26.0,8.0,90.0,0.6222222222222222,0.28888888888888886,0.08888888888888889
